family,size,seed,rounds,instance,n_candidates,n_vars_maxsat,n_hard,n_soft,wcnf_write_time,total_preprocess_time,error
comb,6,,0,comb_6_r0,24,24,24,24,0.2666,0.3247,
comb,8,,0,comb_8_r0,32,32,32,32,0.1125,0.1376,
comb,10,,0,comb_10_r0,40,40,40,40,0.1372,0.1914,
comb,18,,0,comb_18_r0,72,72,72,72,0.4590,0.8624,
comb,20,,0,comb_20_r0,80,80,80,80,0.6255,1.1777,
comb,30,,0,comb_30_r0,120,120,120,120,2.3374,4.7047,
comb,6,,1,comb_6_r1,51,51,51,51,0.1626,0.2178,
comb,8,,1,comb_8_r1,69,69,69,69,0.2221,0.3571,
comb,10,,1,comb_10_r1,87,87,87,87,0.3475,0.6291,
comb,18,,1,comb_18_r1,159,159,159,159,1.8455,3.6712,
comb,20,,1,comb_20_r1,177,177,177,177,2.5338,5.0745,
comb,30,,1,comb_30_r1,267,267,267,267,9.2842,18.7569,
comb,6,,2,comb_6_r2,121,121,121,121,0.4731,0.8085,
comb,8,,2,comb_8_r2,209,209,209,209,1.2789,2.4805,
comb,10,,2,comb_10_r2,321,321,321,321,3.4092,6.7574,
comb,12,,0,comb_12_r0,48,48,48,48,0.2581,0.4006,
comb,14,,0,comb_14_r0,56,56,56,56,0.2363,0.3972,
comb,16,,0,comb_16_r0,64,64,64,64,0.3191,0.5743,
comb,22,,0,comb_22_r0,88,88,88,88,0.8163,1.6042,
comb,24,,0,comb_24_r0,96,96,96,96,1.0957,2.1672,
comb,26,,0,comb_26_r0,104,104,104,104,1.4189,2.8435,
comb,28,,0,comb_28_r0,112,112,112,112,1.8329,3.6831,
comb,12,,1,comb_12_r1,105,105,105,105,0.5470,1.0408,
comb,14,,1,comb_14_r1,123,123,123,123,0.8586,1.6502,
comb,16,,1,comb_16_r1,141,141,141,141,1.2540,2.4661,
comb,22,,1,comb_22_r1,195,195,195,195,3.4055,6.8127,
comb,24,,1,comb_24_r1,213,213,213,213,4.5074,9.1112,
comb,26,,1,comb_26_r1,231,231,231,231,5.8429,11.8079,
comb,28,,1,comb_28_r1,249,249,249,249,7.4827,15.1055,
comb,12,,2,comb_12_r2,457,457,457,457,8.0022,15.9686,
