family,size,seed,rounds,instance,maxhs_status,maxhs_opt,maxhs_time,kissat_optimal_k,kissat_total_time,kissat_unsat_time,kissat_sat_time,kissat_num_calls,kissat_per_k,error
comb,6,,0,comb_6_r0,OPTIMUM FOUND,6,0.1935,6,0.0310,0.0276,0.0034,6,k1:UNSATISFIABLE:0.0057;k2:UNSATISFIABLE:0.0044;k3:UNSATISFIABLE:0.0053;k4:UNSATISFIABLE:0.0059;k5:UNSATISFIABLE:0.0063;k6:SATISFIABLE:0.0034,
comb,8,,0,comb_8_r0,OPTIMUM FOUND,8,0.0352,8,0.0527,0.0489,0.0038,8,k1:UNSATISFIABLE:0.0041;k2:UNSATISFIABLE:0.0043;k3:UNSATISFIABLE:0.0049;k4:UNSATISFIABLE:0.0070;k5:UNSATISFIABLE:0.0082;k6:UNSATISFIABLE:0.0080;k7:UNSATISFIABLE:0.0123;k8:SATISFIABLE:0.0038,
comb,10,,0,comb_10_r0,OPTIMUM FOUND,10,0.0346,10,0.0893,0.0859,0.0035,10,k1:UNSATISFIABLE:0.0048;k2:UNSATISFIABLE:0.0051;k3:UNSATISFIABLE:0.0070;k4:UNSATISFIABLE:0.0065;k5:UNSATISFIABLE:0.0073;k6:UNSATISFIABLE:0.0120;k7:UNSATISFIABLE:0.0131;k8:UNSATISFIABLE:0.0146;k9:UNSATISFIABLE:0.0156;k10:SATISFIABLE:0.0035,
comb,12,,0,comb_12_r0,OPTIMUM FOUND,12,0.0349,12,0.1468,0.1430,0.0038,12,k1:UNSATISFIABLE:0.0044;k2:UNSATISFIABLE:0.0053;k3:UNSATISFIABLE:0.0089;k4:UNSATISFIABLE:0.0083;k5:UNSATISFIABLE:0.0091;k6:UNSATISFIABLE:0.0156;k7:UNSATISFIABLE:0.0165;k8:UNSATISFIABLE:0.0172;k9:UNSATISFIABLE:0.0182;k10:UNSATISFIABLE:0.0192;k11:UNSATISFIABLE:0.0203;k12:SATISFIABLE:0.0038,
comb,14,,0,comb_14_r0,OPTIMUM FOUND,14,0.0353,14,0.2255,0.2217,0.0038,14,k1:UNSATISFIABLE:0.0045;k2:UNSATISFIABLE:0.0058;k3:UNSATISFIABLE:0.0074;k4:UNSATISFIABLE:0.0098;k5:UNSATISFIABLE:0.0172;k6:UNSATISFIABLE:0.0188;k7:UNSATISFIABLE:0.0188;k8:UNSATISFIABLE:0.0200;k9:UNSATISFIABLE:0.0214;k10:UNSATISFIABLE:0.0228;k11:UNSATISFIABLE:0.0243;k12:UNSATISFIABLE:0.0254;k13:UNSATISFIABLE:0.0256;k14:SATISFIABLE:0.0038,
comb,16,,0,comb_16_r0,OPTIMUM FOUND,16,0.0356,16,0.2977,0.2937,0.0039,16,k1:UNSATISFIABLE:0.0043;k2:UNSATISFIABLE:0.0063;k3:UNSATISFIABLE:0.0085;k4:UNSATISFIABLE:0.0104;k5:UNSATISFIABLE:0.0196;k6:UNSATISFIABLE:0.0209;k7:UNSATISFIABLE:0.0219;k8:UNSATISFIABLE:0.0233;k9:UNSATISFIABLE:0.0251;k10:UNSATISFIABLE:0.0260;k11:UNSATISFIABLE:0.0256;k12:UNSATISFIABLE:0.0253;k13:UNSATISFIABLE:0.0254;k14:UNSATISFIABLE:0.0257;k15:UNSATISFIABLE:0.0254;k16:SATISFIABLE:0.0039,
comb,18,,0,comb_18_r0,OPTIMUM FOUND,18,0.0362,18,0.3712,0.3670,0.0042,18,k1:UNSATISFIABLE:0.0047;k2:UNSATISFIABLE:0.0071;k3:UNSATISFIABLE:0.0085;k4:UNSATISFIABLE:0.0206;k5:UNSATISFIABLE:0.0225;k6:UNSATISFIABLE:0.0234;k7:UNSATISFIABLE:0.0250;k8:UNSATISFIABLE:0.0255;k9:UNSATISFIABLE:0.0255;k10:UNSATISFIABLE:0.0257;k11:UNSATISFIABLE:0.0255;k12:UNSATISFIABLE:0.0256;k13:UNSATISFIABLE:0.0253;k14:UNSATISFIABLE:0.0256;k15:UNSATISFIABLE:0.0253;k16:UNSATISFIABLE:0.0254;k17:UNSATISFIABLE:0.0259;k18:SATISFIABLE:0.0042,
comb,20,,0,comb_20_r0,OPTIMUM FOUND,20,0.0362,20,0.4462,0.4421,0.0041,20,k1:UNSATISFIABLE:0.0044;k2:UNSATISFIABLE:0.0074;k3:UNSATISFIABLE:0.0207;k4:UNSATISFIABLE:0.0228;k5:UNSATISFIABLE:0.0250;k6:UNSATISFIABLE:0.0248;k7:UNSATISFIABLE:0.0257;k8:UNSATISFIABLE:0.0267;k9:UNSATISFIABLE:0.0269;k10:UNSATISFIABLE:0.0257;k11:UNSATISFIABLE:0.0255;k12:UNSATISFIABLE:0.0256;k13:UNSATISFIABLE:0.0257;k14:UNSATISFIABLE:0.0257;k15:UNSATISFIABLE:0.0258;k16:UNSATISFIABLE:0.0259;k17:UNSATISFIABLE:0.0260;k18:UNSATISFIABLE:0.0258;k19:UNSATISFIABLE:0.0263;k20:SATISFIABLE:0.0041,
comb,22,,0,comb_22_r0,OPTIMUM FOUND,22,0.0367,22,0.5050,0.5006,0.0044,22,k1:UNSATISFIABLE:0.0049;k2:UNSATISFIABLE:0.0081;k3:UNSATISFIABLE:0.0229;k4:UNSATISFIABLE:0.0250;k5:UNSATISFIABLE:0.0252;k6:UNSATISFIABLE:0.0252;k7:UNSATISFIABLE:0.0254;k8:UNSATISFIABLE:0.0256;k9:UNSATISFIABLE:0.0257;k10:UNSATISFIABLE:0.0257;k11:UNSATISFIABLE:0.0260;k12:UNSATISFIABLE:0.0259;k13:UNSATISFIABLE:0.0261;k14:UNSATISFIABLE:0.0260;k15:UNSATISFIABLE:0.0260;k16:UNSATISFIABLE:0.0259;k17:UNSATISFIABLE:0.0261;k18:UNSATISFIABLE:0.0261;k19:UNSATISFIABLE:0.0260;k20:UNSATISFIABLE:0.0262;k21:UNSATISFIABLE:0.0266;k22:SATISFIABLE:0.0044,
comb,24,,0,comb_24_r0,OPTIMUM FOUND,24,0.0370,24,0.5684,0.5637,0.0047,24,k1:UNSATISFIABLE:0.0045;k2:UNSATISFIABLE:0.0090;k3:UNSATISFIABLE:0.0242;k4:UNSATISFIABLE:0.0253;k5:UNSATISFIABLE:0.0252;k6:UNSATISFIABLE:0.0254;k7:UNSATISFIABLE:0.0258;k8:UNSATISFIABLE:0.0261;k9:UNSATISFIABLE:0.0262;k10:UNSATISFIABLE:0.0262;k11:UNSATISFIABLE:0.0264;k12:UNSATISFIABLE:0.0266;k13:UNSATISFIABLE:0.0264;k14:UNSATISFIABLE:0.0265;k15:UNSATISFIABLE:0.0262;k16:UNSATISFIABLE:0.0264;k17:UNSATISFIABLE:0.0263;k18:UNSATISFIABLE:0.0266;k19:UNSATISFIABLE:0.0268;k20:UNSATISFIABLE:0.0266;k21:UNSATISFIABLE:0.0269;k22:UNSATISFIABLE:0.0267;k23:UNSATISFIABLE:0.0274;k24:SATISFIABLE:0.0047,
